🚀 Starting module-specific report generation...

📊 MODULE LINK SUMMARY:
   Total links: 69
   Module 1: 69 links (69 with risk analysis), Highest Risk Score: 85.0

📦 Module 1 (69 risky links):
  🔗 scraped_id=4633 | score=-1.0 | paywall=True | url=https://www.wsj.com/finance/banking/goldman-sachs-greece-hotel-sell-34b5353a?mod=real-estate_lead_story
  🔗 scraped_id=4657 | score=0.0 | paywall=False | url=https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf
  🔗 scraped_id=4681 | score=0.0 | paywall=False | url=http://www.mindtools.com/pages/article/newPPM_07.htm
  🔗 scraped_id=4660 | score=0.0 | paywall=False | url=http://www.mindtools.com/pages/article/newPPM_07.htm
  🔗 scraped_id=4688 | score=0.0 | paywall=False | url=https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf
  🔗 scraped_id=4683 | score=0.0 | paywall=False | url=https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf
  🔗 scraped_id=4665 | score=0.0 | paywall=False | url=https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf
  🔗 scraped_id=4691 | score=0.0 | paywall=False | url=https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf
  🔗 scraped_id=4680 | score=0.0 | paywall=False | url=http://www.mindtools.com/pages/article/newPPM_07.htm
  🔗 scraped_id=4661 | score=0.0 | paywall=False | url=http://www.mindtools.com/pages/article/newPPM_07.htm
  🔗 scraped_id=4689 | score=0.0 | paywall=False | url=https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf
  🔗 scraped_id=4677 | score=0.0 | paywall=False | url=http://www.mindtools.com/pages/article/newPPM_07.htm
  🔗 scraped_id=4659 | score=0.0 | paywall=False | url=http://www.gantt.com/index.htm
  🔗 scraped_id=4656 | score=0.0 | paywall=False | url=https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf
  🔗 scraped_id=4664 | score=0.0 | paywall=False | url=https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf
  🔗 scraped_id=4673 | score=0.0 | paywall=False | url=http://en.wikipedia.org/wiki/Stakeholder_management
  🔗 scraped_id=4687 | score=0.0 | paywall=False | url=https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf
  🔗 scraped_id=4670 | score=0.0 | paywall=False | url=https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf
  🔗 scraped_id=4684 | score=0.0 | paywall=False | url=https://kathyschwalbe.files.wordpress.com/2018/08/project2016guide.pdf
  🔗 scraped_id=4675 | score=0.0 | paywall=False | url=http://www.mindtools.com/pages/article/newPPM_07.htm
  🔗 scraped_id=4674 | score=0.0 | paywall=False | url=http://en.wikipedia.org/wiki/Stakeholder_management
